municipio,matfund,matfundpop,matmed,matmedpop,docfund,docfundpop,docmed,docmedpop,nestabfund,nestabfundpop,nestabmed,nestabmedpop,populacao,idh,pib
110001,3918,0.16912,763,0.03293,214,0.00924,73,0.00315,28,0.00121,4,0.00017,23167,0.641,19611.75
110002,15678,0.14767,3906,0.03679,630,0.00593,261,0.00246,36,0.00034,9,0.00008,106168,0.702,21389.67
110003,955,0.17562,181,0.03328,59,0.01085,22,0.00405,7,0.00129,2,0.00037,5438,0.650,22315.80
110004,12710,0.14986,3634,0.04285,546,0.00644,268,0.00316,46,0.00054,16,0.00019,84813,0.718,24037.91
110005,2470,0.15021,436,0.02651,109,0.00663,28,0.00170,8,0.00049,2,0.00012,16444,0.692,25009.71
110006,2407,0.14833,976,0.06015,141,0.00869,100,0.00616,12,0.00074,3,0.00018,16227,0.685,18413.74
110007,1241,0.16400,219,0.02894,63,0.00833,32,0.00423,8,0.00106,3,0.00040,7567,0.613,38156.05
110008,2612,0.14629,415,0.02324,120,0.00672,53,0.00297,10,0.00056,2,0.00011,17855,0.611,12413.35
110009,4973,0.15518,1063,0.03317,204,0.00637,90,0.00281,22,0.00069,7,0.00022,32047,0.672,17498.71
110010,8573,0.18725,1623,0.03545,366,0.00799,109,0.00238,59,0.00129,6,0.00013,45783,0.657,16955.80
110011,7931,0.15272,1917,0.03691,353,0.00680,195,0.00375,24,0.00046,12,0.00023,51933,0.689,25301.65
110012,19519,0.15260,4988,0.03900,811,0.00634,350,0.00274,67,0.00052,22,0.00017,127907,0.714,22814.71
110013,5936,0.15183,1022,0.02614,261,0.00668,62,0.00159,24,0.00061,5,0.00013,39097,0.596,15724.60
110014,2512,0.12278,597,0.02918,121,0.00591,45,0.00220,7,0.00034,1,0.00005,20459,0.643,16598.42
110015,5664,0.15586,1078,0.02966,231,0.00636,86,0.00237,18,0.00050,5,0.00014,36340,0.682,19560.69
110018,5535,0.15192,1425,0.03911,231,0.00634,114,0.00313,18,0.00049,5,0.00014,36434,0.710,28288.63
110020,80719,0.15537,16956,0.03264,3138,0.00604,1026,0.00197,232,0.00045,59,0.00011,519531,0.736,31793.20
110025,3137,0.16163,637,0.03282,168,0.00866,67,0.00345,15,0.00077,5,0.00026,19409,0.664,18760.18
110026,683,0.18345,109,0.02928,34,0.00913,9,0.00242,2,0.00054,1,0.00027,3723,0.643,27767.17
110028,8135,0.14871,2020,0.03693,411,0.00751,166,0.00303,21,0.00038,10,0.00018,54702,0.700,22734.08
110029,1101,0.16237,235,0.03466,58,0.00855,45,0.00664,2,0.00029,1,0.00015,6781,0.670,19347.70
110030,14220,0.14592,3263,0.03348,573,0.00588,226,0.00232,44,0.00045,12,0.00012,97448,0.731,26723.64
110032,3431,0.14962,838,0.03654,148,0.00645,44,0.00192,15,0.00065,1,0.00004,22931,0.646,26876.64
110033,5136,0.17260,917,0.03082,231,0.00776,57,0.00192,60,0.00202,3,0.00010,29757,0.587,16372.80
110034,2167,0.14719,447,0.03036,127,0.00863,29,0.00197,10,0.00068,2,0.00014,14722,0.643,15685.89
110037,2133,0.16126,382,0.02888,94,0.00711,43,0.00325,10,0.00076,1,0.00008,13227,0.592,23883.26
110040,2642,0.12582,519,0.02472,121,0.00576,29,0.00138,13,0.00062,1,0.00005,20999,0.625,15288.98
110045,5694,0.14624,1185,0.03043,221,0.00568,71,0.00182,21,0.00054,4,0.00010,38937,0.616,17063.65
110050,1328,0.15175,450,0.05142,74,0.00846,66,0.00754,4,0.00046,3,0.00034,8751,0.634,16744.93
110060,881,0.14233,149,0.02407,51,0.00824,41,0.00662,4,0.00065,1,0.00016,6190,0.646,21793.88
110070,2150,0.15347,365,0.02605,89,0.00635,50,0.00357,7,0.00050,2,0.00014,14009,0.593,19092.23
110080,4206,0.16188,563,0.02167,160,0.00616,38,0.00146,12,0.00046,3,0.00012,25983,0.649,21299.57
110090,572,0.18339,107,0.03431,29,0.00930,11,0.00353,3,0.00096,1,0.00032,3119,0.658,31403.68
110092,1886,0.17325,419,0.03849,97,0.00891,37,0.00340,12,0.00110,4,0.00037,10886,0.652,26504.59
110094,3075,0.12693,486,0.02006,122,0.00504,29,0.00120,7,0.00029,1,0.00004,24226,0.612,14437.60
110100,1435,0.17727,305,0.03768,77,0.00951,47,0.00581,12,0.00148,2,0.00025,8095,0.596,18740.83
110110,1762,0.17153,249,0.02424,67,0.00652,43,0.00419,6,0.00058,1,0.00010,10272,0.614,15599.18
110120,1183,0.12118,331,0.03391,72,0.00738,44,0.00451,7,0.00072,1,0.00010,9762,0.638,20286.44
110130,1788,0.16137,484,0.04368,81,0.00731,25,0.00226,9,0.00081,2,0.00018,11080,0.643,17327.20
110140,2347,0.14954,528,0.03364,113,0.00720,51,0.00325,8,0.00051,2,0.00013,15695,0.607,16573.47
110143,1133,0.16078,228,0.03235,44,0.00624,16,0.00227,5,0.00071,1,0.00014,7047,0.587,15638.40
110145,681,0.11451,137,0.02304,45,0.00757,35,0.00589,8,0.00135,2,0.00034,5947,0.617,17343.07
110146,444,0.20265,80,0.03651,23,0.01050,35,0.01597,2,0.00091,1,0.00046,2191,0.665,41089.77
110147,603,0.20517,147,0.05002,32,0.01089,35,0.01191,4,0.00136,2,0.00068,2939,0.641,18573.98
110148,834,0.15795,213,0.04034,53,0.01004,52,0.00985,4,0.00076,2,0.00038,5280,0.649,15204.80
110149,2920,0.14716,724,0.03649,122,0.00615,51,0.00257,10,0.00050,3,0.00015,19842,0.611,17335.87
110150,1975,0.16653,424,0.03575,74,0.00624,17,0.00143,7,0.00059,1,0.00008,11860,0.598,19010.25
110155,726,0.16560,151,0.03444,36,0.00821,10,0.00228,4,0.00091,1,0.00023,4384,0.643,16916.36
110160,1550,0.14770,381,0.03631,84,0.00800,47,0.00448,6,0.00057,1,0.00010,10494,0.589,16283.42
110170,1692,0.14505,415,0.03558,81,0.00694,19,0.00163,7,0.00060,1,0.00009,11665,0.609,15946.09
110175,1429,0.12958,253,0.02294,59,0.00535,17,0.00154,6,0.00054,1,0.00009,11028,0.584,13523.82
110180,1194,0.17062,233,0.03330,60,0.00857,39,0.00557,5,0.00071,1,0.00014,6998,0.627,17488.31
120001,2416,0.16085,628,0.04181,91,0.00606,30,0.00200,10,0.00067,3,0.00020,15020,0.604,15984.09
120005,2540,0.34795,288,0.03945,153,0.02096,22,0.00301,66,0.00904,2,0.00027,7300,0.588,13132.06
120010,4167,0.16121,1018,0.03938,176,0.00681,52,0.00201,35,0.00135,3,0.00012,25848,0.614,15663.67
120013,2509,0.24815,517,0.05113,132,0.01306,45,0.00445,31,0.00307,11,0.00109,10111,0.589,16380.21
120017,2059,0.17973,400,0.03492,89,0.00777,30,0.00262,14,0.00122,3,0.00026,11456,0.575,15354.37
120020,18581,0.21194,5411,0.06172,831,0.00948,310,0.00354,148,0.00169,22,0.00025,87673,0.664,15585.70
120025,2632,0.14524,654,0.03609,110,0.00607,38,0.00210,19,0.00105,2,0.00011,18122,0.653,25139.04
120030,8361,0.24112,1731,0.04992,401,0.01156,98,0.00283,131,0.00378,18,0.00052,34675,0.539,10842.72
120032,2546,0.31205,418,0.05123,147,0.01802,35,0.00429,67,0.00821,2,0.00025,8159,0.469,10006.13
120033,3938,0.21129,808,0.04335,198,0.01062,76,0.00408,42,0.00225,6,0.00032,18638,0.625,10855.28
120034,2317,0.24818,403,0.04317,87,0.00932,19,0.00204,31,0.00332,1,0.00011,9336,0.551,15259.81
120035,4464,0.24221,996,0.05404,274,0.01487,52,0.00282,65,0.00353,3,0.00016,18430,0.501,10914.86
120038,2965,0.15155,725,0.03706,141,0.00721,42,0.00215,21,0.00107,5,0.00026,19565,0.622,13030.70
120039,2930,0.25000,525,0.04480,169,0.01442,26,0.00222,44,0.00375,2,0.00017,11720,0.532,9927.70
120040,60414,0.15060,16710,0.04165,2328,0.00580,935,0.00233,198,0.00049,60,0.00015,401155,0.727,21258.68
120042,3418,0.18472,819,0.04426,200,0.01081,85,0.00459,61,0.00330,11,0.00059,18504,0.567,10309.69
120043,2039,0.32050,406,0.06382,119,0.01870,20,0.00314,56,0.00880,9,0.00141,6362,0.517,11439.99
120045,4319,0.18935,970,0.04253,214,0.00938,77,0.00338,28,0.00123,8,0.00035,22810,0.640,16692.58
120050,7613,0.16851,1524,0.03373,371,0.00821,101,0.00224,141,0.00312,21,0.00046,45177,0.603,11602.31
120060,10847,0.25841,1838,0.04379,461,0.01098,125,0.00298,83,0.00198,17,0.00040,41976,0.539,11763.89
120070,2950,0.15487,595,0.03124,170,0.00892,62,0.00325,54,0.00283,9,0.00047,19048,0.599,12726.81
120080,3621,0.19917,757,0.04164,170,0.00935,61,0.00336,28,0.00154,9,0.00050,18180,0.576,13169.30
130002,3808,0.24010,714,0.04502,210,0.01324,60,0.00378,56,0.00353,3,0.00019,15860,0.527,10000.80
130006,2422,0.21373,777,0.06857,137,0.01209,74,0.00653,24,0.00212,4,0.00035,11332,0.560,7186.35
130008,2065,0.15563,722,0.05441,159,0.01198,53,0.00399,25,0.00188,5,0.00038,13269,0.594,8330.15
130010,2516,0.12250,675,0.03287,140,0.00682,71,0.00346,17,0.00083,2,0.00010,20538,0.561,9549.01
130014,2212,0.10249,571,0.02646,110,0.00510,50,0.00232,10,0.00046,2,0.00009,21583,0.637,9037.65
130020,3530,0.18160,604,0.03107,272,0.01399,54,0.00278,69,0.00355,2,0.00010,19438,0.450,7407.49
130030,8753,0.22542,2270,0.05846,456,0.01174,110,0.00283,51,0.00131,4,0.00010,38830,0.577,8527.28
130040,3122,0.11409,821,0.03000,242,0.00884,67,0.00245,52,0.00190,3,0.00011,27364,0.500,5784.23
130050,8414,0.26632,2446,0.07742,563,0.01782,120,0.00380,99,0.00313,9,0.00028,31593,0.574,7594.06
130060,8719,0.20750,2183,0.05195,457,0.01088,138,0.00328,58,0.00138,3,0.00007,42020,0.574,6766.77
130063,5552,0.28830,1413,0.07337,236,0.01225,68,0.00353,62,0.00322,3,0.00016,19258,0.506,7450.96
130068,3611,0.19227,1201,0.06395,242,0.01289,55,0.00293,45,0.00240,2,0.00011,18781,0.565,6794.72
130070,6292,0.18519,1623,0.04777,393,0.01157,102,0.00300,103,0.00303,7,0.00021,33976,0.588,10668.30
130080,7646,0.18849,1862,0.04590,587,0.01447,123,0.00303,160,0.00394,9,0.00022,40565,0.560,7313.77
130083,2635,0.20463,637,0.04947,197,0.01530,56,0.00435,46,0.00357,3,0.00023,12877,0.569,11101.73
130090,2427,0.15709,385,0.02492,117,0.00757,46,0.00298,39,0.00252,2,0.00013,15450,0.530,6646.31
130100,5862,0.20879,1504,0.05357,291,0.01036,81,0.00289,53,0.00189,5,0.00018,28076,0.549,10074.99
130110,6309,0.16876,1797,0.04807,340,0.00909,94,0.00251,43,0.00115,4,0.00011,37384,0.557,7283.11
130115,3734,0.12617,1155,0.03903,295,0.00997,104,0.00351,51,0.00172,8,0.00027,29595,0.568,10730.33
130120,15716,0.18649,4106,0.04872,812,0.00964,195,0.00231,135,0.00160,10,0.00012,84272,0.586,15580.35
130130,4540,0.16157,1068,0.03801,282,0.01004,60,0.00214,56,0.00199,3,0.00011,28100,0.563,16683.01
130140,8041,0.23080,1519,0.04360,393,0.01128,65,0.00187,41,0.00118,2,0.00006,34840,0.563,12431.91
130150,3455,0.17567,457,0.02324,173,0.00880,23,0.00117,41,0.00208,1,0.00005,19668,0.509,7627.76
130160,5603,0.30750,1066,0.05850,387,0.02124,76,0.00417,55,0.00302,3,0.00016,18221,0.530,8507.12
130165,2913,0.17745,678,0.04130,174,0.01060,57,0.00347,41,0.00250,2,0.00012,16416,0.532,7088.42
130170,9094,0.16840,2486,0.04604,435,0.00806,154,0.00285,86,0.00159,10,0.00019,54001,0.605,10400.50
130180,3639,0.12577,889,0.03073,181,0.00626,63,0.00218,42,0.00145,3,0.00010,28933,0.481,4942.15
130185,11406,0.23977,3080,0.06475,614,0.01291,118,0.00248,69,0.00145,4,0.00008,47571,0.613,14857.91
130190,19690,0.19699,5976,0.05979,1104,0.01104,218,0.00218,134,0.00134,12,0.00012,99955,0.644,19817.09
130195,2529,0.32061,396,0.05020,151,0.01914,49,0.00621,38,0.00482,1,0.00013,7888,0.477,11536.94
130200,1807,0.19936,582,0.06421,99,0.01092,52,0.00574,21,0.00232,3,0.00033,9064,0.654,11789.20
130210,1932,0.59173,290,0.08882,187,0.05727,41,0.01256,38,0.01164,6,0.00184,3265,0.522,14735.73
130220,2619,0.18299,506,0.03535,154,0.01076,49,0.00342,31,0.00217,3,0.00021,14312,0.522,7145.78
130230,6123,0.41503,1089,0.07382,382,0.02589,62,0.00420,88,0.00596,5,0.00034,14753,0.516,13794.17
130240,8399,0.18563,1928,0.04261,479,0.01059,108,0.00239,130,0.00287,4,0.00009,45245,0.531,11033.02
130250,19507,0.20270,5433,0.05645,716,0.00744,189,0.00196,142,0.00148,12,0.00012,96236,0.614,15811.37
130255,3554,0.11410,1248,0.04007,212,0.00681,53,0.00170,38,0.00122,2,0.00006,31147,0.596,7806.29
130260,329018,0.15336,108182,0.05042,11466,0.00534,4332,0.00202,750,0.00035,174,0.00008,2145444,0.737,34362.71
130270,9459,0.17227,2649,0.04825,649,0.01182,127,0.00231,156,0.00284,6,0.00011,54907,0.582,9065.26
130280,4262,0.23436,676,0.03717,334,0.01837,50,0.00275,92,0.00506,3,0.00016,18186,0.498,8325.67
130290,13021,0.20749,3140,0.05004,823,0.01311,143,0.00228,179,0.00285,5,0.00008,62755,0.588,7376.44
130300,3619,0.17317,1117,0.05345,229,0.01096,59,0.00282,57,0.00273,5,0.00024,20899,0.586,6797.78
130310,5969,0.16255,1853,0.05046,357,0.00972,57,0.00155,62,0.00169,3,0.00008,36721,0.558,6427.28
130320,2747,0.14478,818,0.04311,162,0.00854,53,0.00279,23,0.00121,2,0.00011,18974,0.570,7076.84
130330,3895,0.15434,1081,0.04283,239,0.00947,75,0.00297,46,0.00182,4,0.00016,25237,0.554,7288.37
130340,19660,0.17372,6616,0.05846,973,0.00860,295,0.00261,151,0.00133,13,0.00011,113168,0.658,9593.89
130350,3818,0.19753,649,0.03358,212,0.01097,63,0.00326,75,0.00388,3,0.00016,19329,0.496,7690.77
130353,6402,0.18109,1453,0.04110,301,0.00851,124,0.00351,26,0.00074,6,0.00017,35352,0.647,12865.72
130356,4780,0.14673,1331,0.04086,172,0.00528,74,0.00227,19,0.00058,3,0.00009,32577,0.611,11994.12
130360,2553,0.10448,797,0.03262,247,0.01011,51,0.00209,36,0.00147,4,0.00016,24436,0.479,5159.77
130370,5946,0.27069,1498,0.06820,400,0.01821,86,0.00392,39,0.00178,7,0.00032,21966,0.490,7477.54
130380,11403,0.25444,2707,0.06040,955,0.02131,332,0.00741,233,0.00520,16,0.00036,44816,0.609,7037.06
130390,8113,0.21065,2278,0.05915,483,0.01254,109,0.00283,78,0.00203,7,0.00018,38515,0.521,6186.16
130395,1906,0.13928,633,0.04626,156,0.01140,57,0.00417,24,0.00175,2,0.00015,13685,0.577,7566.82
130400,2117,0.23238,713,0.07827,171,0.01877,51,0.00560,11,0.00121,3,0.00033,9110,0.632,10453.73
130406,12987,0.20139,3899,0.06046,586,0.00909,242,0.00375,50,0.00078,9,0.00014,64488,0.616,7255.96
130410,4247,0.24551,759,0.04388,312,0.01804,59,0.00341,83,0.00480,3,0.00017,17299,0.502,18896.71
130420,15492,0.25754,3621,0.06020,838,0.01393,220,0.00366,94,0.00156,12,0.00020,60154,0.639,12008.83
130423,3816,0.20505,728,0.03912,315,0.01693,84,0.00451,54,0.00290,4,0.00021,18610,0.548,6591.02
130426,3433,0.25644,514,0.03840,231,0.01726,60,0.00448,44,0.00329,4,0.00030,13387,0.527,13881.45
130430,2905,0.17732,1018,0.06214,177,0.01080,61,0.00372,33,0.00201,3,0.00018,16383,0.620,17566.03
130440,3243,0.14390,811,0.03599,229,0.01016,74,0.00328,30,0.00133,4,0.00018,22537,0.588,6450.77
140002,2082,0.16798,523,0.04220,199,0.01606,94,0.00758,33,0.00266,8,0.00065,12394,0.484,14119.38
140005,3136,0.20054,517,0.03306,232,0.01484,87,0.00556,34,0.00217,9,0.00058,15638,0.542,17453.31
140010,56346,0.15011,14735,0.03925,2510,0.00669,1007,0.00268,162,0.00043,52,0.00014,375374,0.752,26924.03
